                                     | Core 0     | Core 1    
  Instructions                       |      98984 |      98877
  Cycles                             |     562299 |     562299
  IPC                                |       0.18 |       0.18
  Time (ns)                          |     211391 |     211391
  Idle time (ns)                     |     189488 |     189657
  Idle time (%)                      |      89.6% |      89.7%
Branch predictor stats               |            |           
  num correct                        |      10846 |      10854
  num incorrect                      |        365 |        351
  misprediction rate                 |      3.26% |      3.13%
  mpki                               |       3.69 |       3.55
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      15537 |      15509
    num cache misses                 |         22 |         21
    miss rate                        |      0.14% |      0.14%
    mpki                             |       0.22 |       0.21
  Cache L1-D                         |            |           
    num cache accesses               |      50678 |      50644
    num cache misses                 |       1919 |       1519
    miss rate                        |      3.79% |      3.00%
    mpki                             |      19.39 |      15.36
  Cache L2                           |            |           
    num cache accesses               |       2495 |       2493
    num cache misses                 |         33 |          7
    miss rate                        |      1.32% |      0.28%
    mpki                             |       0.33 |       0.07
  Cache L3                           |            |           
    num cache accesses               |         35 |          9
    num cache misses                 |         33 |          7
    miss rate                        |     94.29% |     77.78%
    mpki                             |       0.33 |       0.07
DRAM summary                         |            |           
  num dram accesses                  |         38 |          0
  average dram access latency (ns)   |     135.21 |        inf
  average dram queueing delay        |      81.78 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          9 |          3
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
