                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   88073419 |   85628172 |   88381006 |   88050511 |   86333124 |   87456230 |   76547859 |   87832372 |   83069050 |   80148122 |   83999748 |   88788190 |   86842175 |   86620547 |   79351189 |   84893950
  Cycles                             |   49742161 |   49742161 |   49742161 |   49742161 |   49742161 |   49742161 |   49742161 |   49742161 |   49742161 |   49742161 |   49742161 |   49742161 |   49742161 |   49742161 |   49742161 |   49742161
  IPC                                |       1.77 |       1.72 |       1.78 |       1.77 |       1.74 |       1.76 |       1.54 |       1.77 |       1.67 |       1.61 |       1.69 |       1.78 |       1.75 |       1.74 |       1.60 |       1.71
  Time (ns)                          |   18700061 |   18700061 |   18700061 |   18700061 |   18700061 |   18700061 |   18700061 |   18700061 |   18700061 |   18700061 |   18700061 |   18700061 |   18700061 |   18700061 |   18700061 |   18700061
  Idle time (ns)                     |     111939 |     631301 |      72526 |     151590 |     496945 |     291197 |    2466549 |     198087 |    1133320 |    1721901 |     954952 |       5598 |     420426 |     451428 |    1900060 |     800790
  Idle time (%)                      |       0.6% |       3.4% |       0.4% |       0.8% |       2.7% |       1.6% |      13.2% |       1.1% |       6.1% |       9.2% |       5.1% |       0.0% |       2.2% |       2.4% |      10.2% |       4.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   21781416 |   21170243 |   21858455 |   21775643 |   21346457 |   21627150 |   18900231 |   21721225 |   20530445 |   19800206 |   20763133 |   21960172 |   21473707 |   21418395 |   19601047 |   20986663
  num incorrect                      |       1396 |       1273 |       1268 |       1445 |       1282 |       1368 |       1215 |       1332 |       1289 |       1287 |       1277 |       1344 |       1303 |       1222 |       1226 |       1287
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.01 |       0.01 |       0.02 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.01 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     212151 |     212118 |     212122 |     212152 |     212158 |     212164 |     212098 |     212140 |     212122 |     212146 |     212131 |     212140 |     212136 |     212113 |     212120 |     212146
    num cache misses                 |         17 |         18 |         18 |         18 |         18 |         17 |         18 |         18 |         18 |         18 |         17 |         16 |         18 |         17 |         17 |         18
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   44291708 |   43069096 |   44445512 |   44280257 |   43421562 |   43983115 |   38528951 |   44171186 |   41789534 |   40329064 |   42254886 |   44649103 |   43676093 |   43565290 |   39930611 |   42701978
    num cache misses                 |      27796 |      26725 |      27640 |      27582 |      26857 |      26971 |      23650 |      27174 |      25952 |      24890 |      26099 |      27443 |      26627 |      26595 |      24419 |      25988
    miss rate                        |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
    mpki                             |       0.32 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      29041 |      27833 |      28772 |      28652 |      27956 |      28084 |      24749 |      28262 |      27196 |      26044 |      27190 |      28501 |      27727 |      27713 |      25534 |      27109
    num cache misses                 |      27813 |      26743 |      27659 |      27600 |      26876 |      26989 |      23668 |      27192 |      25971 |      24908 |      26116 |      27459 |      26645 |      26612 |      24436 |      26006
    miss rate                        |     95.77% |     96.08% |     96.13% |     96.33% |     96.14% |     96.10% |     95.63% |     96.21% |     95.50% |     95.64% |     96.05% |     96.34% |     96.10% |     96.03% |     95.70% |     95.93%
    mpki                             |       0.32 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      29041 |      27833 |      28772 |      28652 |      27956 |      28084 |      24749 |      28262 |      27196 |      26044 |      27190 |      28501 |      27727 |      27713 |      25534 |      27109
    num cache misses                 |      15039 |      13988 |      14490 |      14206 |      13508 |      13517 |      11847 |      14094 |      13827 |      12823 |      13608 |      14652 |      13572 |      13568 |      11949 |      13201
    miss rate                        |     51.79% |     50.26% |     50.36% |     49.58% |     48.32% |     48.13% |     47.87% |     49.87% |     50.84% |     49.24% |     50.05% |     51.41% |     48.95% |     48.96% |     46.80% |     48.70%
    mpki                             |       0.17 |       0.16 |       0.16 |       0.16 |       0.16 |       0.15 |       0.15 |       0.16 |       0.17 |       0.16 |       0.16 |       0.17 |       0.16 |       0.16 |       0.15 |       0.16
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         73 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     136.41 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      82.98 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          2 |          2 |          3 |          3 |          2 |          2 |          2 |          3 |          2 |          2 |          2 |          4 |          3 |          2 |          2 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       8414 |       7928 |       8305 |       8272 |       8030 |       8045 |       7243 |       8123 |       7636 |       6983 |       7553 |       8523 |       7796 |       7900 |       6894 |       7607
