                                     | Core 0     | Core 1    
  Instructions                       |     107377 |     120320
  Cycles                             |     332956 |     332956
  IPC                                |       0.32 |       0.36
  Time (ns)                          |     125172 |     125172
  Idle time (ns)                     |     104230 |     101457
  Idle time (%)                      |      83.3% |      81.1%
Branch predictor stats               |            |           
  num correct                        |      14010 |      17248
  num incorrect                      |         88 |         93
  misprediction rate                 |      0.62% |      0.54%
  mpki                               |       0.82 |       0.77
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      14025 |      14019
    num cache misses                 |         17 |         16
    miss rate                        |      0.12% |      0.11%
    mpki                             |       0.16 |       0.13
  Cache L1-D                         |            |           
    num cache accesses               |      61217 |      67699
    num cache misses                 |       1360 |       1589
    miss rate                        |      2.22% |      2.35%
    mpki                             |      12.67 |      13.21
  Cache L2                           |            |           
    num cache accesses               |       1997 |       1998
    num cache misses                 |         25 |         14
    miss rate                        |      1.25% |      0.70%
    mpki                             |       0.23 |       0.12
  Cache L3                           |            |           
    num cache accesses               |         26 |         17
    num cache misses                 |         25 |         14
    miss rate                        |     96.15% |     82.35%
    mpki                             |       0.23 |       0.12
DRAM summary                         |            |           
  num dram accesses                  |         29 |          0
  average dram access latency (ns)   |     106.60 |        inf
  average dram queueing delay        |      53.18 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          3
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
