                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   42460730 |   41055068 |   43079388 |   43316002 |   41571116 |   42967785 |   43619670 |   42952354
  Cycles                             |   24959057 |   24959057 |   24959057 |   24959057 |   24959057 |   24959057 |   24959057 |   24959057
  IPC                                |       1.70 |       1.64 |       1.73 |       1.74 |       1.67 |       1.72 |       1.75 |       1.72
  Time (ns)                          |    9383105 |    9383105 |    9383105 |    9383105 |    9383105 |    9383105 |    9383105 |    9383105
  Idle time (ns)                     |     105104 |     420400 |      54278 |       9932 |     376907 |     118640 |       3047 |     133057
  Idle time (%)                      |       1.1% |       4.5% |       0.6% |       0.1% |       4.0% |       1.3% |       0.0% |       1.4%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   10378328 |   10026892 |   10533039 |   10592076 |   10155887 |   10505009 |   10667903 |   10501143
  num incorrect                      |       1320 |       1348 |       1284 |       1399 |       1360 |       1401 |       1475 |       1404
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     212129 |     212129 |     212121 |     212125 |     212142 |     212152 |     212155 |     212166
    num cache misses                 |         17 |         18 |         18 |         18 |         17 |         17 |         16 |         17
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   21485369 |   20782547 |   21794709 |   21913015 |   21040568 |   21738901 |   22064841 |   21731181
    num cache misses                 |      13808 |      13433 |      13798 |      13899 |       9206 |       9670 |       9777 |       9438
    miss rate                        |      0.06% |      0.06% |      0.06% |      0.06% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.33 |       0.33 |       0.32 |       0.32 |       0.22 |       0.23 |       0.22 |       0.22
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      15127 |      14427 |      14855 |      14948 |      10162 |      10640 |      10698 |      10371
    num cache misses                 |       4753 |       1700 |        927 |        612 |       1995 |       1787 |       1625 |       1397
    miss rate                        |     31.42% |     11.78% |      6.24% |      4.09% |     19.63% |     16.80% |     15.19% |     13.47%
    mpki                             |       0.11 |       0.04 |       0.02 |       0.01 |       0.05 |       0.04 |       0.04 |       0.03
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       5468 |       2229 |       1490 |       1188 |       2938 |       2682 |       2494 |       2257
    num cache misses                 |         22 |          8 |          8 |          5 |          5 |          6 |         10 |          6
    miss rate                        |      0.40% |      0.36% |      0.54% |      0.42% |      0.17% |      0.22% |      0.40% |      0.27%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         49 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     128.55 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      75.12 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          4 |          4 |          2 |          4 |          3 |          3 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
