                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     565970 |     533010 |     549444 |     540986 |     581992 |     552686 |     545614 |     602295 |     497332 |     657076 |     657382 |     657378 |     642543 |     645213 |     650562 |     649094
  Cycles                             |    1695645 |    1695645 |    1695645 |    1695645 |    1695645 |    1695645 |    1695645 |    1695645 |    1695645 |    1695645 |    1695645 |    1695645 |    1695645 |    1695645 |    1695645 |    1695645
  IPC                                |       0.33 |       0.31 |       0.32 |       0.32 |       0.34 |       0.33 |       0.32 |       0.36 |       0.29 |       0.39 |       0.39 |       0.39 |       0.38 |       0.38 |       0.38 |       0.38
  Time (ns)                          |     637461 |     637461 |     637461 |     637461 |     637461 |     637461 |     637461 |     637461 |     637461 |     637461 |     637461 |     637461 |     637461 |     637461 |     637461 |     637461
  Idle time (ns)                     |      66283 |      93535 |      29071 |     105112 |      46597 |      40710 |      44168 |       9326 |     205016 |      12869 |       4606 |      22004 |      28545 |       6401 |      27030 |      11648
  Idle time (%)                      |      10.4% |      14.7% |       4.6% |      16.5% |       7.3% |       6.4% |       6.9% |       1.5% |      32.2% |       2.0% |       0.7% |       3.5% |       4.5% |       1.0% |       4.2% |       1.8%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     128511 |     120318 |     124216 |     122213 |     132643 |     125215 |     123384 |     137827 |     111369 |     151255 |     151421 |     151450 |     147605 |     148339 |     149701 |     149358
  num incorrect                      |        483 |        443 |        648 |        540 |        365 |        460 |        529 |        252 |        465 |        519 |        428 |        399 |        541 |        463 |        438 |        427
  misprediction rate                 |      0.37% |      0.37% |      0.52% |      0.44% |      0.27% |      0.37% |      0.43% |      0.18% |      0.42% |      0.34% |      0.28% |      0.26% |      0.37% |      0.31% |      0.29% |      0.29%
  mpki                               |       0.85 |       0.83 |       1.18 |       1.00 |       0.63 |       0.83 |       0.97 |       0.42 |       0.93 |       0.79 |       0.65 |       0.61 |       0.84 |       0.72 |       0.67 |       0.66
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      11037 |      11040 |      11042 |      11047 |      11028 |      11040 |      11036 |      11034 |      11050 |      11038 |      11033 |      11036 |      11042 |      11060 |      11060 |      11026
    num cache misses                 |         17 |         17 |         18 |         18 |         18 |         18 |         17 |         18 |         18 |         18 |         18 |         18 |         17 |         18 |         18 |         17
    miss rate                        |      0.15% |      0.15% |      0.16% |      0.16% |      0.16% |      0.16% |      0.15% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.15% |      0.16% |      0.16% |      0.15%
    mpki                             |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.04 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     291015 |     274546 |     282754 |     278533 |     299036 |     284375 |     280848 |     309180 |     256698 |     336574 |     336719 |     336721 |     329313 |     330639 |     333313 |     332586
    num cache misses                 |      11905 |      11350 |      12604 |      11113 |      12002 |      12020 |      11947 |      12614 |       9152 |      12929 |      12751 |      12267 |      12315 |      12496 |      12187 |      12408
    miss rate                        |      4.09% |      4.13% |      4.46% |      3.99% |      4.01% |      4.23% |      4.25% |      4.08% |      3.57% |      3.84% |      3.79% |      3.64% |      3.74% |      3.78% |      3.66% |      3.73%
    mpki                             |      21.03 |      21.29 |      22.94 |      20.54 |      20.62 |      21.75 |      21.90 |      20.94 |      18.40 |      19.68 |      19.40 |      18.66 |      19.17 |      19.37 |      18.73 |      19.12
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      13049 |      12354 |      13674 |      12073 |      13028 |      12995 |      12991 |      13514 |      10256 |      13950 |      13758 |      13306 |      13315 |      13465 |      13225 |      13433
    num cache misses                 |      11924 |      11369 |      12626 |      11133 |      12025 |      12041 |      11968 |      12642 |       9172 |      12950 |      12773 |      12285 |      12335 |      12516 |      12210 |      12431
    miss rate                        |     91.38% |     92.03% |     92.34% |     92.21% |     92.30% |     92.66% |     92.13% |     93.55% |     89.43% |     92.83% |     92.84% |     92.33% |     92.64% |     92.95% |     92.33% |     92.54%
    mpki                             |      21.07 |      21.33 |      22.98 |      20.58 |      20.66 |      21.79 |      21.93 |      20.99 |      18.44 |      19.71 |      19.43 |      18.69 |      19.20 |      19.40 |      18.77 |      19.15
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      13049 |      12354 |      13674 |      12073 |      13028 |      12995 |      12991 |      13514 |      10256 |      13950 |      13758 |      13306 |      13315 |      13465 |      13225 |      13433
    num cache misses                 |       7989 |       7427 |       8414 |       7197 |       7809 |       7843 |       7926 |       8622 |       6242 |       8667 |       8333 |       7947 |       8028 |       8142 |       7976 |       8248
    miss rate                        |     61.22% |     60.12% |     61.53% |     59.61% |     59.94% |     60.35% |     61.01% |     63.80% |     60.86% |     62.13% |     60.57% |     59.72% |     60.29% |     60.47% |     60.31% |     61.40%
    mpki                             |      14.12 |      13.93 |      15.31 |      13.30 |      13.42 |      14.19 |      14.53 |      14.32 |      12.55 |      13.19 |      12.68 |      12.09 |      12.49 |      12.62 |      12.26 |      12.71
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         73 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     141.26 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
