                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    1288530 |    1420086 |    1312086 |    1362754
  Cycles                             |    1182841 |    1182841 |    1182841 |    1182841
  IPC                                |       1.09 |       1.20 |       1.11 |       1.15
  Time (ns)                          |     444677 |     444677 |     444677 |     444677
  Idle time (ns)                     |     120951 |     101692 |     117901 |     107546
  Idle time (%)                      |      27.2% |      22.9% |      26.5% |      24.2%
Branch predictor stats               |            |            |            |           
  num correct                        |     288390 |     321385 |     294272 |     306957
  num incorrect                      |        732 |        631 |        742 |        733
  misprediction rate                 |      0.25% |      0.20% |      0.25% |      0.24%
  mpki                               |       0.57 |       0.44 |       0.57 |       0.54
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      32065 |      32066 |      32077 |      32053
    num cache misses                 |         17 |         17 |         18 |         18
    miss rate                        |      0.05% |      0.05% |      0.06% |      0.06%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     674285 |     740070 |     686069 |     711409
    num cache misses                 |       5835 |       6236 |       5859 |       6044
    miss rate                        |      0.87% |      0.84% |      0.85% |      0.85%
    mpki                             |       4.53 |       4.39 |       4.47 |       4.44
  Cache L2                           |            |            |            |           
    num cache accesses               |       6961 |       7101 |       6845 |       6990
    num cache misses                 |         22 |         10 |          9 |          7
    miss rate                        |      0.32% |      0.14% |      0.13% |      0.10%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01
  Cache L3                           |            |            |            |           
    num cache accesses               |         24 |         12 |         11 |          9
    num cache misses                 |         22 |         10 |          9 |          7
    miss rate                        |     91.67% |     83.33% |     81.82% |     77.78%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |         36 |          0 |          0 |          0
  average dram access latency (ns)   |     109.35 |        inf |        inf |        inf
  average dram queueing delay        |      55.92 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          4 |          3 |          3 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
