                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    1404985 |    1405563 |    1399660 |    1401940 |    1402217 |    1402809 |    1399409 |    1404489
  Cycles                             |   50300750 |   50300750 |   50300750 |   50300750 |   50300750 |   50300750 |   50300750 |   50300750
  IPC                                |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Time (ns)                          |   18910057 |   18910057 |   18910057 |   18910057 |   18910057 |   18910057 |   18910057 |   18910057
  Idle time (ns)                     |   17518998 |   17513739 |   17520393 |   17517303 |   17515307 |   17512879 |   17519396 |   17509139
  Idle time (%)                      |      92.6% |      92.6% |      92.7% |      92.6% |      92.6% |      92.6% |      92.6% |      92.6%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     111022 |     111003 |     110584 |     110734 |     110790 |     110799 |     110555 |     110954
  num incorrect                      |        291 |        305 |        232 |        272 |        239 |        280 |        240 |        265
  misprediction rate                 |      0.26% |      0.27% |      0.21% |      0.25% |      0.22% |      0.25% |      0.22% |      0.24%
  mpki                               |       0.21 |       0.22 |       0.17 |       0.19 |       0.17 |       0.20 |       0.17 |       0.19
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     215164 |     215355 |     215272 |     215320 |     215268 |     215312 |     215276 |     215299
    num cache misses                 |         21 |         22 |         22 |         22 |         22 |         22 |         22 |         22
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     943975 |     943965 |     942898 |     943326 |     943321 |     943465 |     942861 |     943729
    num cache misses                 |       2235 |       2348 |       1836 |       2040 |       2041 |       2093 |       1809 |       2247
    miss rate                        |      0.24% |      0.25% |      0.19% |      0.22% |      0.22% |      0.22% |      0.19% |      0.24%
    mpki                             |       1.59 |       1.67 |       1.31 |       1.46 |       1.46 |       1.49 |       1.29 |       1.60
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       2369 |       2474 |       1941 |       2148 |       2174 |       2241 |       1949 |       2388
    num cache misses                 |       1202 |       1271 |       1105 |       1195 |       1144 |       1155 |       1010 |       1308
    miss rate                        |     50.74% |     51.37% |     56.93% |     55.63% |     52.62% |     51.54% |     51.82% |     54.77%
    mpki                             |       0.86 |       0.90 |       0.79 |       0.85 |       0.82 |       0.82 |       0.72 |       0.93
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       1244 |       1321 |       1141 |       1236 |       1220 |       1236 |       1094 |       1393
    num cache misses                 |         16 |          7 |         12 |          6 |          9 |          5 |         18 |          7
    miss rate                        |      1.29% |      0.53% |      1.05% |      0.49% |      0.74% |      0.40% |      1.65% |      0.50%
    mpki                             |       0.01 |       0.00 |       0.01 |       0.00 |       0.01 |       0.00 |       0.01 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         63 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     124.64 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      71.21 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          6 |          6 |          6 |          4 |          6 |          4 |          6 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
