                                     | Core 0     | Core 1    
  Instructions                       |    4629181 |    4046838
  Cycles                             |    7064637 |    7064637
  IPC                                |       0.66 |       0.57
  Time (ns)                          |    2655879 |    2655879
  Idle time (ns)                     |     100201 |     319629
  Idle time (%)                      |       3.8% |      12.0%
Branch predictor stats               |            |           
  num correct                        |     648554 |     551486
  num incorrect                      |        317 |        330
  misprediction rate                 |      0.05% |      0.06%
  mpki                               |       0.07 |       0.08
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      11020 |      11023
    num cache misses                 |         16 |         17
    miss rate                        |      0.15% |      0.15%
    mpki                             |       0.00 |       0.00
  Cache L1-D                         |            |           
    num cache accesses               |    2569620 |    2278459
    num cache misses                 |       3972 |       4106
    miss rate                        |      0.15% |      0.18%
    mpki                             |       0.86 |       1.01
  Cache L2                           |            |           
    num cache accesses               |       4125 |       4125
    num cache misses                 |         23 |          9
    miss rate                        |      0.56% |      0.22%
    mpki                             |       0.00 |       0.00
  Cache L3                           |            |           
    num cache accesses               |         25 |         11
    num cache misses                 |         23 |          9
    miss rate                        |     92.00% |     81.82%
    mpki                             |       0.00 |       0.00
DRAM summary                         |            |           
  num dram accesses                  |         29 |          0
  average dram access latency (ns)   |      92.27 |        inf
  average dram queueing delay        |      38.85 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          3
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
