                                     | Core 0    
  Instructions                       |      96041
  Cycles                             |     300673
  IPC                                |       0.32
  Time (ns)                          |     113035
  Idle time (ns)                     |      99086
  Idle time (%)                      |      87.7%
Branch predictor stats               |           
  num correct                        |      11008
  num incorrect                      |          6
  misprediction rate                 |      0.05%
  mpki                               |       0.06
TLB Summary                          |           
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      15020
    num cache misses                 |         18
    miss rate                        |      0.12%
    mpki                             |       0.19
  Cache L1-D                         |           
    num cache accesses               |      50049
    num cache misses                 |         13
    miss rate                        |      0.03%
    mpki                             |       0.14
  Cache L2                           |           
    num cache accesses               |         33
    num cache misses                 |         31
    miss rate                        |     93.94%
    mpki                             |       0.32
  Cache L3                           |           
    num cache accesses               |         33
    num cache misses                 |         31
    miss rate                        |     93.94%
    mpki                             |       0.32
DRAM summary                         |           
  num dram accesses                  |         30
  average dram access latency (ns)   |     128.16
  average dram queueing delay        |      74.73
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |          9
  num loads from dram cache          |          0
  num loads from remote cache        |          0
