                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     506373 |     622864 |     592499 |     618347 |     619841 |     519390 |     623905 |     555323 |     626284 |     599302 |     637524 |     611237 |     628940 |     460349 |     519208 |     610157
  Cycles                             |    8790325 |    8790325 |    8790325 |    8790325 |    8790325 |    8790325 |    8790325 |    8790325 |    8790325 |    8790325 |    8790325 |    8790325 |    8790325 |    8790325 |    8790325 |    8790325
  IPC                                |       0.06 |       0.07 |       0.07 |       0.07 |       0.07 |       0.06 |       0.07 |       0.06 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.05 |       0.06 |       0.07
  Time (ns)                          |    3304634 |    3304634 |    3304634 |    3304634 |    3304634 |    3304634 |    3304634 |    3304634 |    3304634 |    3304634 |    3304634 |    3304634 |    3304634 |    3304634 |    3304634 |    3304634
  Idle time (ns)                     |     821315 |       8368 |     185680 |      33201 |      22869 |     679992 |       6542 |     426810 |      78530 |     223596 |       4589 |     142338 |      16200 |    1156111 |     715447 |      99022
  Idle time (%)                      |      24.9% |       0.3% |       5.6% |       1.0% |       0.7% |      20.6% |       0.2% |      12.9% |       2.4% |       6.8% |       0.1% |       4.3% |       0.5% |      35.0% |      21.6% |       3.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      66586 |      85961 |      80914 |      85247 |      85497 |      68748 |      86134 |      74748 |      86509 |      82025 |      88453 |      84071 |      86989 |      58905 |      68747 |      83868
  num incorrect                      |        151 |        188 |        174 |        154 |        151 |        161 |        188 |        149 |        210 |        198 |        139 |        145 |        173 |        163 |        126 |        168
  misprediction rate                 |      0.23% |      0.22% |      0.21% |      0.18% |      0.18% |      0.23% |      0.22% |      0.20% |      0.24% |      0.24% |      0.16% |      0.17% |      0.20% |      0.28% |      0.18% |      0.20%
  mpki                               |       0.30 |       0.30 |       0.29 |       0.25 |       0.24 |       0.31 |       0.30 |       0.27 |       0.34 |       0.33 |       0.22 |       0.24 |       0.28 |       0.35 |       0.24 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
