                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      11023 |      11038 |      11038 |      11028 |      11031 |      11021 |      11038 |      11028 |      11038 |      11034 |      11031 |      11028 |      11035 |      11028 |      11038 |      11028
    num cache misses                 |         17 |         18 |         18 |         18 |         18 |         17 |         18 |         18 |         18 |         18 |         18 |         18 |         18 |         18 |         18 |         18
    miss rate                        |      0.15% |      0.16% |      0.16% |      0.16% |      0.16% |      0.15% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16%
    mpki                             |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.04 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     283217 |     341448 |     326265 |     339200 |     339945 |     289724 |     341967 |     307688 |     343158 |     329676 |     348782 |     335645 |     344492 |     260201 |     289620 |     335105
    num cache misses                 |      72138 |      83607 |      78588 |      83710 |      84671 |      65884 |      85926 |      73624 |      96032 |      78607 |      85341 |      81708 |      84824 |      54567 |      66515 |      83885
    miss rate                        |     25.47% |     24.49% |     24.09% |     24.68% |     24.91% |     22.74% |     25.13% |     23.93% |     27.98% |     23.84% |     24.47% |     24.34% |     24.62% |     20.97% |     22.97% |     25.03%
    mpki                             |     142.46 |     134.23 |     132.64 |     135.38 |     136.60 |     126.85 |     137.72 |     132.58 |     153.34 |     131.16 |     133.86 |     133.68 |     134.87 |     118.53 |     128.11 |     137.48
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      72255 |      83743 |      78721 |      83823 |      84795 |      66016 |      86042 |      73734 |      96178 |      78745 |      85438 |      81813 |      84919 |      54685 |      66630 |      84008
    num cache misses                 |      72155 |      83625 |      78606 |      83728 |      84689 |      65901 |      85944 |      73642 |      96050 |      78625 |      85359 |      81726 |      84843 |      54585 |      66533 |      83903
    miss rate                        |     99.86% |     99.86% |     99.85% |     99.89% |     99.87% |     99.83% |     99.89% |     99.88% |     99.87% |     99.85% |     99.91% |     99.89% |     99.91% |     99.82% |     99.85% |     99.88%
    mpki                             |     142.49 |     134.26 |     132.67 |     135.41 |     136.63 |     126.88 |     137.75 |     132.61 |     153.36 |     131.19 |     133.89 |     133.71 |     134.90 |     118.57 |     128.14 |     137.51
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      72255 |      83743 |      78721 |      83823 |      84795 |      66016 |      86042 |      73734 |      96178 |      78744 |      85438 |      81813 |      84918 |      54685 |      66630 |      84008
    num cache misses                 |      28940 |      49861 |      44234 |      46941 |      46853 |      35672 |      47303 |      39704 |      39930 |      45075 |      47535 |      44898 |      46873 |      29391 |      35790 |      45750
    miss rate                        |     40.05% |     59.54% |     56.19% |     56.00% |     55.25% |     54.04% |     54.98% |     53.85% |     41.52% |     57.24% |     55.64% |     54.88% |     55.20% |     53.75% |     53.71% |     54.46%
    mpki                             |      57.15 |      80.05 |      74.66 |      75.91 |      75.59 |      68.68 |      75.82 |      71.50 |      63.76 |      75.21 |      74.56 |      73.45 |      74.53 |      63.85 |      68.93 |      74.98
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         73 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     193.67 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     140.24 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          2 |          4 |          4 |          4 |          7 |          1 |          2 |          4 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      22769 |      36268 |      34077 |      36069 |      36096 |      27659 |      36087 |      30831 |      30844 |      33227 |      35418 |      34201 |      35288 |      22374 |      27535 |      34852
