                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     107938 |      92728 |     113756 |      98785 |      99107 |     115028 |     104144 |     111449
  Cycles                             |     532046 |     532046 |     532046 |     532046 |     532046 |     532046 |     532046 |     532046
  IPC                                |       0.20 |       0.17 |       0.21 |       0.19 |       0.19 |       0.22 |       0.20 |       0.21
  Time (ns)                          |     200018 |     200018 |     200018 |     200018 |     200018 |     200018 |     200018 |     200018
  Idle time (ns)                     |      12974 |      73745 |       8876 |      58242 |      45533 |       2967 |      37507 |      27289
  Idle time (%)                      |       6.5% |      36.9% |       4.4% |      29.1% |      22.8% |       1.5% |      18.8% |      13.6%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      10756 |       8220 |      11600 |       9156 |       9282 |      11893 |      10042 |      11231
  num incorrect                      |         75 |         73 |        202 |        151 |         79 |        121 |        158 |        189
  misprediction rate                 |      0.69% |      0.88% |      1.71% |      1.62% |      0.84% |      1.01% |      1.55% |      1.65%
  mpki                               |       0.69 |       0.79 |       1.78 |       1.53 |       0.80 |       1.05 |       1.52 |       1.70
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      11023 |      11038 |      11024 |      11026 |      11023 |      11020 |      11023 |      11021
    num cache misses                 |         17 |         18 |         17 |         17 |         17 |         16 |         17 |         17
    miss rate                        |      0.15% |      0.16% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15%
    mpki                             |       0.16 |       0.19 |       0.15 |       0.17 |       0.17 |       0.14 |       0.16 |       0.15
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      61499 |      53880 |      64416 |      56928 |      57094 |      65054 |      59612 |      63264
    num cache misses                 |      10763 |       6434 |       9332 |       7416 |       7650 |       9474 |       8534 |       9286
    miss rate                        |     17.50% |     11.94% |     14.49% |     13.03% |     13.40% |     14.56% |     14.32% |     14.68%
    mpki                             |      99.71 |      69.39 |      82.04 |      75.07 |      77.19 |      82.36 |      81.94 |      83.32
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      10909 |       6568 |       9583 |       7557 |       7835 |       9645 |       8771 |       9467
    num cache misses                 |       6589 |       3434 |       5110 |       3762 |       4490 |       5526 |       4361 |       4471
    miss rate                        |     60.40% |     52.28% |     53.32% |     49.78% |     57.31% |     57.29% |     49.72% |     47.23%
    mpki                             |      61.04 |      37.03 |      44.92 |      38.08 |      45.30 |      48.04 |      41.87 |      40.12
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       6661 |       3482 |       5262 |       3838 |       4583 |       5597 |       4474 |       4588
    num cache misses                 |          9 |         22 |          3 |          3 |          4 |          3 |          4 |          3
    miss rate                        |      0.14% |      0.63% |      0.06% |      0.08% |      0.09% |      0.05% |      0.09% |      0.07%
    mpki                             |       0.08 |       0.24 |       0.03 |       0.03 |       0.04 |       0.03 |       0.04 |       0.03
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         49 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      98.44 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      45.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          2 |          8 |          2 |          3 |          3 |          2 |          3 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
