                                     | Core 0     | Core 1    
  Instructions                       |     119825 |     120877
  Cycles                             |     339421 |     339421
  IPC                                |       0.35 |       0.36
  Time (ns)                          |     127602 |     127602
  Idle time (ns)                     |      99661 |      99352
  Idle time (%)                      |      78.1% |      77.9%
Branch predictor stats               |            |           
  num correct                        |      17123 |      17380
  num incorrect                      |        337 |        339
  misprediction rate                 |      1.93% |      1.91%
  mpki                               |       2.81 |       2.80
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      11027 |      11031
    num cache misses                 |         17 |         18
    miss rate                        |      0.15% |      0.16%
    mpki                             |       0.14 |       0.15
  Cache L1-D                         |            |           
    num cache accesses               |      67942 |      68462
    num cache misses                 |       1618 |       1623
    miss rate                        |      2.38% |      2.37%
    mpki                             |      13.50 |      13.43
  Cache L2                           |            |           
    num cache accesses               |       2194 |       2196
    num cache misses                 |         23 |          8
    miss rate                        |      1.05% |      0.36%
    mpki                             |       0.19 |       0.07
  Cache L3                           |            |           
    num cache accesses               |         25 |         10
    num cache misses                 |         23 |          8
    miss rate                        |     92.00% |     80.00%
    mpki                             |       0.19 |       0.07
DRAM summary                         |            |           
  num dram accesses                  |         30 |          0
  average dram access latency (ns)   |     124.79 |        inf
  average dram queueing delay        |      71.36 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          4
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
