                                     | Core 0    
  Instructions                       |     213041
  Cycles                             |     573104
  IPC                                |       0.37
  Time (ns)                          |     215453
  Idle time (ns)                     |      99158
  Idle time (%)                      |      46.0%
Branch predictor stats               |           
  num correct                        |      20005
  num incorrect                      |          9
  misprediction rate                 |      0.04%
  mpki                               |       0.04
TLB Summary                          |           
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      33020
    num cache misses                 |         18
    miss rate                        |      0.05%
    mpki                             |       0.08
  Cache L1-D                         |           
    num cache accesses               |     131049
    num cache misses                 |         13
    miss rate                        |      0.01%
    mpki                             |       0.06
  Cache L2                           |           
    num cache accesses               |         33
    num cache misses                 |         31
    miss rate                        |     93.94%
    mpki                             |       0.15
  Cache L3                           |           
    num cache accesses               |         33
    num cache misses                 |         31
    miss rate                        |     93.94%
    mpki                             |       0.15
DRAM summary                         |           
  num dram accesses                  |         30
  average dram access latency (ns)   |     117.59
  average dram queueing delay        |      64.16
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |          9
  num loads from dram cache          |          0
  num loads from remote cache        |          0
