                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    3237127 |    3615352 |    2523748 |    3604176 |    2695777 |    3184818 |    3437421 |    3469140
  Cycles                             |    2349783 |    2349783 |    2349783 |    2349783 |    2349783 |    2349783 |    2349783 |    2349783
  IPC                                |       1.38 |       1.54 |       1.07 |       1.53 |       1.15 |       1.36 |       1.46 |       1.48
  Time (ns)                          |     883377 |     883377 |     883377 |     883377 |     883377 |     883377 |     883377 |     883377
  Idle time (ns)                     |       9913 |       1951 |     234725 |      17811 |     171201 |      78469 |      37558 |      51000
  Idle time (%)                      |       1.1% |       0.2% |      26.6% |       2.0% |      19.4% |       8.9% |       4.3% |       5.8%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     775303 |     869878 |     597044 |     867039 |     639959 |     762253 |     825396 |     833262
  num incorrect                      |        954 |        925 |        865 |        977 |        952 |        922 |        938 |        986
  misprediction rate                 |      0.12% |      0.11% |      0.14% |      0.11% |      0.15% |      0.12% |      0.11% |      0.12%
  mpki                               |       0.29 |       0.26 |       0.34 |       0.27 |       0.35 |       0.29 |       0.27 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      32103 |      32127 |      32112 |      32109 |      32144 |      32117 |      32098 |      32140
    num cache misses                 |         17 |         19 |         18 |         19 |         18 |         19 |         18 |         18
    miss rate                        |      0.05% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1648574 |    1837674 |    1291877 |    1832093 |    1377898 |    1622411 |    1748719 |    1764568
    num cache misses                 |      11566 |      11611 |       8305 |      11422 |       8791 |       9884 |      10372 |       9877
    miss rate                        |      0.70% |      0.63% |      0.64% |      0.62% |      0.64% |      0.61% |      0.59% |      0.56%
    mpki                             |       3.57 |       3.21 |       3.29 |       3.17 |       3.26 |       3.10 |       3.02 |       2.85
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      12921 |      12474 |       9340 |      12458 |       9856 |      11024 |      11455 |      10898
    num cache misses                 |       4234 |       1637 |        868 |        824 |       2231 |       1869 |       1726 |       1095
    miss rate                        |     32.77% |     13.12% |      9.29% |      6.61% |     22.64% |     16.95% |     15.07% |     10.05%
    mpki                             |       1.31 |       0.45 |       0.34 |       0.23 |       0.83 |       0.59 |       0.50 |       0.32
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       5234 |       2140 |       1503 |       1363 |       3055 |       2707 |       2586 |       1888
    num cache misses                 |          8 |         11 |         10 |         10 |         10 |         10 |          9 |          9
    miss rate                        |      0.15% |      0.51% |      0.67% |      0.73% |      0.33% |      0.37% |      0.35% |      0.48%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         50 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     142.11 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      88.68 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          2 |          4 |          1 |          5 |          3 |          6 |          1 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
