                                     | Core 0     | Core 1    
  Instructions                       |      85977 |      70223
  Cycles                             |     327636 |     327636
  IPC                                |       0.26 |       0.21
  Time (ns)                          |     123172 |     123172
  Idle time (ns)                     |     101410 |     109612
  Idle time (%)                      |      82.3% |      89.0%
Branch predictor stats               |            |           
  num correct                        |       7106 |       4509
  num incorrect                      |         64 |         37
  misprediction rate                 |      0.89% |      0.81%
  mpki                               |       0.74 |       0.53
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      11020 |      11027
    num cache misses                 |         16 |         17
    miss rate                        |      0.15% |      0.15%
    mpki                             |       0.19 |       0.24
  Cache L1-D                         |            |           
    num cache accesses               |      50517 |      42643
    num cache misses                 |        918 |       1035
    miss rate                        |      1.82% |      2.43%
    mpki                             |      10.68 |      14.74
  Cache L2                           |            |           
    num cache accesses               |       1057 |       1057
    num cache misses                 |         23 |          8
    miss rate                        |      2.18% |      0.76%
    mpki                             |       0.27 |       0.11
  Cache L3                           |            |           
    num cache accesses               |         25 |         10
    num cache misses                 |         23 |          8
    miss rate                        |     92.00% |     80.00%
    mpki                             |       0.27 |       0.11
DRAM summary                         |            |           
  num dram accesses                  |         29 |          0
  average dram access latency (ns)   |      92.51 |        inf
  average dram queueing delay        |      39.08 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          3
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
