                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    3913384 |    3796257 |    4029902 |    3405320 |    3713887 |    3440469 |    3719812 |    4788532
  Cycles                             |   30144762 |   30144762 |   30144762 |   30144762 |   30144762 |   30144762 |   30144762 |   30144762
  IPC                                |       0.13 |       0.13 |       0.13 |       0.11 |       0.12 |       0.11 |       0.12 |       0.16
  Time (ns)                          |   11332618 |   11332618 |   11332618 |   11332618 |   11332618 |   11332618 |   11332618 |   11332618
  Idle time (ns)                     |       2975 |     451408 |     597254 |    3550561 |     187495 |    1879883 |    1632831 |     133276
  Idle time (%)                      |       0.0% |       4.0% |       5.3% |      31.3% |       1.7% |      16.6% |      14.4% |       1.2%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     614859 |     591423 |     638140 |     513261 |     574991 |     520289 |     576172 |     789880
  num incorrect                      |        224 |        241 |        253 |        216 |        199 |        218 |        203 |        239
  misprediction rate                 |      0.04% |      0.04% |      0.04% |      0.04% |      0.03% |      0.04% |      0.04% |      0.03%
  mpki                               |       0.06 |       0.06 |       0.06 |       0.06 |       0.05 |       0.06 |       0.05 |       0.05
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     210020 |     210019 |     210020 |     210020 |     210020 |     210020 |     210020 |     210019
    num cache misses                 |         15 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    2468256 |    2397995 |    2538183 |    2163433 |    2348575 |    2184523 |    2352130 |    2993360
    num cache misses                 |     640202 |     528022 |     540790 |     392610 |     518132 |     456701 |     491531 |     593296
    miss rate                        |     25.94% |     22.02% |     21.31% |     18.15% |     22.06% |     20.91% |     20.90% |     19.82%
    mpki                             |     163.59 |     139.09 |     134.19 |     115.29 |     139.51 |     132.74 |     132.14 |     123.90
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |     640229 |     528048 |     540821 |     392633 |     518204 |     456773 |     491599 |     593381
    num cache misses                 |     366536 |     268725 |     252609 |     167419 |     303243 |     240465 |     239886 |     271496
    miss rate                        |     57.25% |     50.89% |     46.71% |     42.64% |     58.52% |     52.64% |     48.80% |     45.75%
    mpki                             |      93.66 |      70.79 |      62.68 |      49.16 |      81.65 |      69.89 |      64.49 |      56.70
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     366537 |     268727 |     252611 |     167421 |     303287 |     240514 |     239930 |     271561
    num cache misses                 |         16 |          6 |          7 |          7 |          6 |         10 |          3 |         10
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         47 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     116.89 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      63.46 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          3 |          5 |          4 |          4 |          4 |          2 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
