                                     | Core 0     | Core 1    
  Instructions                       |    9463019 |    6822628
  Cycles                             |    7004778 |    7004778
  IPC                                |       1.35 |       0.97
  Time (ns)                          |    2633375 |    2633375
  Idle time (ns)                     |     101424 |     498419
  Idle time (%)                      |       3.9% |      18.9%
Branch predictor stats               |            |           
  num correct                        |    1724731 |    1196665
  num incorrect                      |        279 |        269
  misprediction rate                 |      0.02% |      0.02%
  mpki                               |       0.03 |       0.04
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |     210020 |     210023
    num cache misses                 |         15 |         16
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00
  Cache L1-D                         |            |           
    num cache accesses               |    5798037 |    4213814
    num cache misses                 |       3387 |       3269
    miss rate                        |      0.06% |      0.08%
    mpki                             |       0.36 |       0.48
  Cache L2                           |            |           
    num cache accesses               |       3403 |       3406
    num cache misses                 |         16 |         15
    miss rate                        |      0.47% |      0.44%
    mpki                             |       0.00 |       0.00
  Cache L3                           |            |           
    num cache accesses               |         17 |         18
    num cache misses                 |         16 |         15
    miss rate                        |     94.12% |     83.33%
    mpki                             |       0.00 |       0.00
DRAM summary                         |            |           
  num dram accesses                  |         28 |          0
  average dram access latency (ns)   |      89.25 |        inf
  average dram queueing delay        |      35.82 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          3 |          5
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
