                                     | Core 0     | Core 1    
  Instructions                       |     119452 |     123816
  Cycles                             |     331892 |     331892
  IPC                                |       0.36 |       0.37
  Time (ns)                          |     124772 |     124772
  Idle time (ns)                     |     102395 |     101456
  Idle time (%)                      |      82.1% |      81.3%
Branch predictor stats               |            |           
  num correct                        |      14557 |      15424
  num incorrect                      |        140 |        151
  misprediction rate                 |      0.95% |      0.97%
  mpki                               |       1.17 |       1.22
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      12023 |      12017
    num cache misses                 |         16 |         15
    miss rate                        |      0.13% |      0.12%
    mpki                             |       0.13 |       0.12
  Cache L1-D                         |            |           
    num cache accesses               |      73097 |      75731
    num cache misses                 |       3207 |       3274
    miss rate                        |      4.39% |      4.32%
    mpki                             |      26.85 |      26.44
  Cache L2                           |            |           
    num cache accesses               |       3335 |       3334
    num cache misses                 |         24 |         10
    miss rate                        |      0.72% |      0.30%
    mpki                             |       0.20 |       0.08
  Cache L3                           |            |           
    num cache accesses               |         26 |         12
    num cache misses                 |         24 |         10
    miss rate                        |     92.31% |     83.33%
    mpki                             |       0.20 |       0.08
DRAM summary                         |            |           
  num dram accesses                  |         28 |          0
  average dram access latency (ns)   |      89.64 |        inf
  average dram queueing delay        |      36.21 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          6 |          2
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
