                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     992437 |    1388148 |    1166490 |    1378369
  Cycles                             |    1164149 |    1164149 |    1164149 |    1164149
  IPC                                |       0.85 |       1.19 |       1.00 |       1.18
  Time (ns)                          |     437650 |     437650 |     437650 |     437650
  Idle time (ns)                     |     180401 |     101746 |     143857 |     103062
  Idle time (%)                      |      41.2% |      23.2% |      32.9% |      23.5%
Branch predictor stats               |            |            |            |           
  num correct                        |     214691 |     313500 |     258098 |     311043
  num incorrect                      |        667 |        792 |        774 |        804
  misprediction rate                 |      0.31% |      0.25% |      0.30% |      0.26%
  mpki                               |       0.67 |       0.57 |       0.66 |       0.58
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      11049 |      11047 |      11062 |      11054
    num cache misses                 |         17 |         16 |         18 |         18
    miss rate                        |      0.15% |      0.14% |      0.16% |      0.16%
    mpki                             |       0.02 |       0.01 |       0.02 |       0.01
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     526749 |     724613 |     613785 |     719724
    num cache misses                 |       4637 |       6201 |       5393 |       6001
    miss rate                        |      0.88% |      0.86% |      0.88% |      0.83%
    mpki                             |       4.67 |       4.47 |       4.62 |       4.35
  Cache L2                           |            |            |            |           
    num cache accesses               |       5782 |       7000 |       6430 |       6892
    num cache misses                 |         23 |          5 |          6 |          6
    miss rate                        |      0.40% |      0.07% |      0.09% |      0.09%
    mpki                             |       0.02 |       0.00 |       0.01 |       0.00
  Cache L3                           |            |            |            |           
    num cache accesses               |         24 |          8 |          8 |          8
    num cache misses                 |         23 |          5 |          6 |          6
    miss rate                        |     95.83% |     62.50% |     75.00% |     75.00%
    mpki                             |       0.02 |       0.00 |       0.01 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |         36 |          0 |          0 |          0
  average dram access latency (ns)   |     100.37 |        inf |        inf |        inf
  average dram queueing delay        |      46.94 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          5 |          2 |          3 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
