                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    6121377 |    6081963 |    5855834 |    5824458 |    6335463 |    4717506 |    5948140 |    6269336 |    6156374 |    5891241 |    5866667 |    5574527 |    5929339 |    4582431 |    6136612 |    5776004
  Cycles                             |    5678995 |    5678995 |    5678995 |    5678995 |    5678995 |    5678995 |    5678995 |    5678995 |    5678995 |    5678995 |    5678995 |    5678995 |    5678995 |    5678995 |    5678995 |    5678995
  IPC                                |       1.08 |       1.07 |       1.03 |       1.03 |       1.12 |       0.83 |       1.05 |       1.10 |       1.08 |       1.04 |       1.03 |       0.98 |       1.04 |       0.81 |       1.08 |       1.02
  Time (ns)                          |    2134961 |    2134961 |    2134961 |    2134961 |    2134961 |    2134961 |    2134961 |    2134961 |    2134961 |    2134961 |    2134961 |    2134961 |    2134961 |    2134961 |    2134961 |    2134961
  Idle time (ns)                     |      50409 |      74285 |     183159 |     192393 |      18518 |     537083 |     142575 |       5539 |      51269 |     140711 |     155607 |     261816 |     143106 |     582910 |      54569 |     178290
  Idle time (%)                      |       2.4% |       3.5% |       8.6% |       9.0% |       0.9% |      25.2% |       6.7% |       0.3% |       2.4% |       6.6% |       7.3% |      12.3% |       6.7% |      27.3% |       2.6% |       8.4%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1496655 |    1486639 |    1430161 |    1422258 |    1550142 |    1145561 |    1453222 |    1533643 |    1505331 |    1439123 |    1432950 |    1359828 |    1448603 |    1111865 |    1500356 |    1410122
  num incorrect                      |        931 |       1101 |       1046 |       1100 |        979 |       1057 |       1062 |        937 |       1011 |        938 |        968 |       1053 |        979 |        991 |       1042 |       1128
  misprediction rate                 |      0.06% |      0.07% |      0.07% |      0.08% |      0.06% |      0.09% |      0.07% |      0.06% |      0.07% |      0.07% |      0.07% |      0.08% |      0.07% |      0.09% |      0.07% |      0.08%
  mpki                               |       0.15 |       0.18 |       0.18 |       0.19 |       0.15 |       0.22 |       0.18 |       0.15 |       0.16 |       0.16 |       0.16 |       0.19 |       0.17 |       0.22 |       0.17 |       0.20
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      11077 |      11085 |      11088 |      11099 |      11061 |      11107 |      11077 |      11092 |      11087 |      11079 |      11068 |      11085 |      11091 |      11080 |      11102 |      11076
    num cache misses                 |         17 |         17 |         17 |         18 |         17 |         18 |         18 |         16 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17
    miss rate                        |      0.15% |      0.15% |      0.15% |      0.16% |      0.15% |      0.16% |      0.16% |      0.14% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    3091219 |    3071525 |    2958458 |    2942769 |    3198275 |    2389293 |    3004610 |    3165211 |    3108730 |    2976164 |    2963875 |    2817807 |    2995207 |    2321756 |    3098847 |    2918543
    num cache misses                 |      22304 |      21865 |      20588 |      20400 |      22440 |      16595 |      20986 |      22456 |      21885 |      20994 |      20580 |      19607 |      20844 |      15967 |      21900 |      20241
    miss rate                        |      0.72% |      0.71% |      0.70% |      0.69% |      0.70% |      0.69% |      0.70% |      0.71% |      0.70% |      0.71% |      0.69% |      0.70% |      0.70% |      0.69% |      0.71% |      0.69%
    mpki                             |       3.64 |       3.60 |       3.52 |       3.50 |       3.54 |       3.52 |       3.53 |       3.58 |       3.55 |       3.56 |       3.51 |       3.52 |       3.52 |       3.48 |       3.57 |       3.50
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      23585 |      23018 |      21721 |      21608 |      23513 |      17746 |      22118 |      23396 |      23143 |      22150 |      21727 |      20718 |      21955 |      17112 |      23063 |      21377
    num cache misses                 |      22322 |      21882 |      20606 |      20420 |      22457 |      16614 |      21005 |      22474 |      21902 |      21012 |      20598 |      19627 |      20861 |      15986 |      21918 |      20261
    miss rate                        |     94.64% |     95.06% |     94.87% |     94.50% |     95.51% |     93.62% |     94.97% |     96.06% |     94.64% |     94.86% |     94.80% |     94.73% |     95.02% |     93.42% |     95.04% |     94.78%
    mpki                             |       3.65 |       3.60 |       3.52 |       3.51 |       3.54 |       3.52 |       3.53 |       3.58 |       3.56 |       3.57 |       3.51 |       3.52 |       3.52 |       3.49 |       3.57 |       3.51
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      23585 |      23018 |      21721 |      21608 |      23513 |      17746 |      22118 |      23396 |      23143 |      22150 |      21727 |      20718 |      21955 |      17112 |      23063 |      21377
    num cache misses                 |      13776 |      13035 |      11754 |      11644 |      12780 |       9233 |      11763 |      13032 |      13337 |      12280 |      11714 |      10972 |      11553 |       8744 |      12427 |      11492
    miss rate                        |     58.41% |     56.63% |     54.11% |     53.89% |     54.35% |     52.03% |     53.18% |     55.70% |     57.63% |     55.44% |     53.91% |     52.96% |     52.62% |     51.10% |     53.88% |     53.76%
    mpki                             |       2.25 |       2.14 |       2.01 |       2.00 |       2.02 |       1.96 |       1.98 |       2.08 |       2.17 |       2.08 |       2.00 |       1.97 |       1.95 |       1.91 |       2.03 |       1.99
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         73 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     135.10 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      81.67 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
