                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    1399480 |    1403369 |    1400155 |    1403785
  Cycles                             |   24621199 |   24621199 |   24621199 |   24621199
  IPC                                |       0.06 |       0.06 |       0.06 |       0.06
  Time (ns)                          |    9256090 |    9256090 |    9256090 |    9256090
  Idle time (ns)                     |    7908131 |    7906056 |    7907849 |    7908494
  Idle time (%)                      |      85.4% |      85.4% |      85.4% |      85.4%
Branch predictor stats               |            |            |            |           
  num correct                        |     110619 |     110885 |     110665 |     111080
  num incorrect                      |        182 |        242 |        195 |        203
  misprediction rate                 |      0.16% |      0.22% |      0.18% |      0.18%
  mpki                               |       0.13 |       0.17 |       0.14 |       0.14
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     215223 |     215279 |     215219 |     214848
    num cache misses                 |         22 |         23 |         23 |         22
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     942822 |     943524 |     942929 |     943826
    num cache misses                 |       1803 |       2123 |       1854 |       2084
    miss rate                        |      0.19% |      0.23% |      0.20% |      0.22%
    mpki                             |       1.29 |       1.51 |       1.32 |       1.48
  Cache L2                           |            |            |            |           
    num cache accesses               |       1897 |       2252 |       1960 |       2198
    num cache misses                 |         33 |          5 |          6 |          7
    miss rate                        |      1.74% |      0.22% |      0.31% |      0.32%
    mpki                             |       0.02 |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |            |           
    num cache accesses               |         35 |          7 |          8 |          9
    num cache misses                 |         33 |          5 |          6 |          7
    miss rate                        |     94.29% |     71.43% |     75.00% |     77.78%
    mpki                             |       0.02 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |         47 |          0 |          0 |          0
  average dram access latency (ns)   |     126.87 |        inf |        inf |        inf
  average dram queueing delay        |      73.44 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          8 |          3 |          3 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
