                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     462931 |     535641 |     540559 |     548253 |     552419 |     544353 |     487194 |     554173 |     460839 |     436537 |     582003 |     594345 |     597649 |     375328 |     546640 |     576356
  Cycles                             |    1596427 |    1596427 |    1596427 |    1596427 |    1596427 |    1596427 |    1596427 |    1596427 |    1596427 |    1596427 |    1596427 |    1596427 |    1596427 |    1596427 |    1596427 |    1596427
  IPC                                |       0.29 |       0.34 |       0.34 |       0.34 |       0.35 |       0.34 |       0.31 |       0.35 |       0.29 |       0.27 |       0.36 |       0.37 |       0.37 |       0.24 |       0.34 |       0.36
  Time (ns)                          |     600161 |     600161 |     600161 |     600161 |     600161 |     600161 |     600161 |     600161 |     600161 |     600161 |     600161 |     600161 |     600161 |     600161 |     600161 |     600161
  Idle time (ns)                     |     124897 |      27973 |      50637 |       7930 |      46776 |      52599 |     109071 |       5614 |     171856 |     171669 |      25210 |       6577 |      14362 |     230417 |      48032 |      11511
  Idle time (%)                      |      20.8% |       4.7% |       8.4% |       1.3% |       7.8% |       8.8% |      18.2% |       0.9% |      28.6% |      28.6% |       4.2% |       1.1% |       2.4% |      38.4% |       8.0% |       1.9%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     102663 |     120711 |     121947 |     123919 |     124969 |     122904 |     108548 |     125275 |     102216 |      95991 |     132312 |     135521 |     136311 |      80764 |     123401 |     130954
  num incorrect                      |        318 |        438 |        429 |        390 |        392 |        426 |        491 |        509 |        249 |        393 |        429 |        311 |        348 |        323 |        499 |        386
  misprediction rate                 |      0.31% |      0.36% |      0.35% |      0.31% |      0.31% |      0.35% |      0.45% |      0.40% |      0.24% |      0.41% |      0.32% |      0.23% |      0.25% |      0.40% |      0.40% |      0.29%
  mpki                               |       0.69 |       0.82 |       0.79 |       0.71 |       0.71 |       0.78 |       1.01 |       0.92 |       0.54 |       0.90 |       0.74 |       0.52 |       0.58 |       0.86 |       0.91 |       0.67
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      14041 |      14076 |      14083 |      14072 |      14040 |      14077 |      14085 |      14080 |      14045 |      14059 |      14083 |      14071 |      14064 |      14042 |      14082 |      14053
    num cache misses                 |         17 |         18 |         18 |         17 |         17 |         18 |         17 |         16 |         17 |         17 |         18 |         17 |         17 |         17 |         17 |         18
    miss rate                        |      0.12% |      0.13% |      0.13% |      0.12% |      0.12% |      0.13% |      0.12% |      0.11% |      0.12% |      0.12% |      0.13% |      0.12% |      0.12% |      0.12% |      0.12% |      0.13%
    mpki                             |       0.04 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.04 |       0.04 |       0.03 |       0.03 |       0.03 |       0.05 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     238991 |     275341 |     277803 |     281654 |     283745 |     279701 |     251123 |     284613 |     237955 |     225800 |     298526 |     304702 |     306355 |     195200 |     280846 |     295709
    num cache misses                 |      10374 |      12430 |      11789 |      12628 |      11758 |      11539 |      10558 |      12514 |       9050 |       8991 |      11937 |      12426 |      12214 |       7615 |      11385 |      12039
