                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     232212 |     231677 |     231062 |     232139 |     232125 |     231309 |     231691 |     231785
  Cycles                             |    3996800 |    3996800 |    3996800 |    3996800 |    3996800 |    3996800 |    3996800 |    3996800
  IPC                                |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
  Time (ns)                          |    1502557 |    1502557 |    1502557 |    1502557 |    1502557 |    1502557 |    1502557 |    1502557
  Idle time (ns)                     |    1318589 |    1320373 |    1321528 |    1316495 |    1320741 |    1321211 |    1320743 |    1321605
  Idle time (%)                      |      87.8% |      87.9% |      88.0% |      87.6% |      87.9% |      87.9% |      87.9% |      88.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      19984 |      19932 |      19842 |      19897 |      19899 |      19875 |      19882 |      19816
  num incorrect                      |       1282 |       1308 |       1323 |       1384 |       1360 |       1313 |       1352 |       1418
  misprediction rate                 |      6.03% |      6.16% |      6.25% |      6.50% |      6.40% |      6.20% |      6.37% |      6.68%
  mpki                               |       5.52 |       5.65 |       5.73 |       5.96 |       5.86 |       5.68 |       5.84 |       6.12
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      35794 |      35767 |      35832 |      35830 |      35878 |      35817 |      35846 |      35797
    num cache misses                 |         21 |         23 |         22 |         22 |         22 |         23 |         22 |         22
    miss rate                        |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
    mpki                             |       0.09 |       0.10 |       0.10 |       0.09 |       0.09 |       0.10 |       0.09 |       0.09
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     134989 |     134929 |     134808 |     135037 |     135024 |     134829 |     134962 |     134905
    num cache misses                 |       4092 |       4107 |       3932 |       4113 |       4147 |       4153 |       4008 |       4152
    miss rate                        |      3.03% |      3.04% |      2.92% |      3.05% |      3.07% |      3.08% |      2.97% |      3.08%
    mpki                             |      17.62 |      17.73 |      17.02 |      17.72 |      17.87 |      17.95 |      17.30 |      17.91
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       5037 |       5157 |       4994 |       5179 |       5106 |       5207 |       4968 |       5146
    num cache misses                 |       1830 |       1773 |       1692 |       1776 |       1895 |       1833 |       1795 |       1813
    miss rate                        |     36.33% |     34.38% |     33.88% |     34.29% |     37.11% |     35.20% |     36.13% |     35.23%
    mpki                             |       7.88 |       7.65 |       7.32 |       7.65 |       8.16 |       7.92 |       7.75 |       7.82
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       2436 |       2415 |       2356 |       2452 |       2460 |       2451 |       2352 |       2403
    num cache misses                 |         16 |          5 |          5 |          4 |          6 |         20 |          9 |          9
    miss rate                        |      0.66% |      0.21% |      0.21% |      0.16% |      0.24% |      0.82% |      0.38% |      0.37%
    mpki                             |       0.07 |       0.02 |       0.02 |       0.02 |       0.03 |       0.09 |       0.04 |       0.04
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         64 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     128.29 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      74.86 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          3 |          4 |          3 |          5 |         10 |          3 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
