                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     264236 |     240238 |     234203 |     234308
  Cycles                             |     398689 |     398689 |     398689 |     398689
  IPC                                |       0.66 |       0.60 |       0.59 |       0.59
  Time (ns)                          |     149883 |     149883 |     149883 |     149883
  Idle time (ns)                     |     101849 |     103684 |     108172 |     106829
  Idle time (%)                      |      68.0% |      69.2% |      72.2% |      71.3%
Branch predictor stats               |            |            |            |           
  num correct                        |      43385 |      38515 |      37447 |      37415
  num incorrect                      |        268 |        345 |        206 |        259
  misprediction rate                 |      0.61% |      0.89% |      0.55% |      0.69%
  mpki                               |       1.01 |       1.44 |       0.88 |       1.11
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      12020 |      12020 |      12020 |      12020
    num cache misses                 |         15 |         16 |         16 |         16
    miss rate                        |      0.12% |      0.13% |      0.13% |      0.13%
    mpki                             |       0.06 |       0.07 |       0.07 |       0.07
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     159966 |     145585 |     141964 |     142027
    num cache misses                 |      40677 |      35034 |      34959 |      33965
    miss rate                        |     25.43% |     24.06% |     24.63% |     23.91%
    mpki                             |     153.94 |     145.83 |     149.27 |     144.96
  Cache L2                           |            |            |            |           
    num cache accesses               |      40805 |      35247 |      35074 |      34129
    num cache misses                 |         19 |          8 |         16 |          4
    miss rate                        |      0.05% |      0.02% |      0.05% |      0.01%
    mpki                             |       0.07 |       0.03 |       0.07 |       0.02
  Cache L3                           |            |            |            |           
    num cache accesses               |         20 |         10 |         19 |          6
    num cache misses                 |         19 |          8 |         16 |          4
    miss rate                        |     95.00% |     80.00% |     84.21% |     66.67%
    mpki                             |       0.07 |       0.03 |       0.07 |       0.02
DRAM summary                         |            |            |            |           
  num dram accesses                  |         34 |          0 |          0 |          0
  average dram access latency (ns)   |     113.81 |        inf |        inf |        inf
  average dram queueing delay        |      60.38 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          5 |          2 |          3 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
