                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     178346 |     175402 |     179441 |     178118 |     179652 |     149959 |     159901 |     181837 |     166018 |     146294 |     166743 |     172245 |     116861 |     186003 |     170063 |     171133
  Cycles                             |    2681175 |    2681175 |    2681175 |    2681175 |    2681175 |    2681175 |    2681175 |    2681175 |    2681175 |    2681175 |    2681175 |    2681175 |    2681175 |    2681175 |    2681175 |    2681175
  IPC                                |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.06 |       0.06 |       0.07 |       0.06 |       0.05 |       0.06 |       0.06 |       0.04 |       0.07 |       0.06 |       0.06
  Time (ns)                          |    1007961 |    1007961 |    1007961 |    1007961 |    1007961 |    1007961 |    1007961 |    1007961 |    1007961 |    1007961 |    1007961 |    1007961 |    1007961 |    1007961 |    1007961 |    1007961
  Idle time (ns)                     |      28160 |      31487 |       7899 |      15561 |       5726 |     242094 |     160425 |       5582 |     138576 |     284066 |     103960 |      69512 |     520434 |      20826 |      74245 |      70156
  Idle time (%)                      |       2.8% |       3.1% |       0.8% |       1.5% |       0.6% |      24.0% |      15.9% |       0.6% |      13.7% |      28.2% |      10.3% |       6.9% |      51.6% |       2.1% |       7.4% |       7.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      26366 |      25799 |      26564 |      26326 |      26634 |      20670 |      22712 |      27067 |      23904 |      19976 |      24055 |      25156 |      14086 |      27883 |      24699 |      24948
  num incorrect                      |        110 |         94 |        139 |        107 |        105 |        130 |         83 |        108 |        109 |         91 |        108 |        105 |        101 |        127 |        123 |         88
  misprediction rate                 |      0.42% |      0.36% |      0.52% |      0.40% |      0.39% |      0.62% |      0.36% |      0.40% |      0.45% |      0.45% |      0.45% |      0.42% |      0.71% |      0.45% |      0.50% |      0.35%
  mpki                               |       0.62 |       0.54 |       0.77 |       0.60 |       0.58 |       0.87 |       0.52 |       0.59 |       0.66 |       0.62 |       0.65 |       0.61 |       0.86 |       0.68 |       0.72 |       0.51
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
