                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    1401772 |    1405344 |    1403592 |    1399623 |    1405299 |    1401012 |    1399680 |    1404571 |    1402217 |    1403116 |    1404531 |    1403157 |    1400559 |    1405515 |    1404929 |    1403721
  Cycles                             |  101976685 |  101976685 |  101976685 |  101976685 |  101976685 |  101976685 |  101976685 |  101976685 |  101976685 |  101976685 |  101976685 |  101976685 |  101976685 |  101976685 |  101976685 |  101976685
  IPC                                |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Time (ns)                          |   38337100 |   38337100 |   38337100 |   38337100 |   38337100 |   38337100 |   38337100 |   38337100 |   38337100 |   38337100 |   38337100 |   38337100 |   38337100 |   38337100 |   38337100 |   38337100
  Idle time (ns)                     |   36908922 |   36900579 |   36905277 |   36915987 |   36898888 |   36911003 |   36913909 |   36901471 |   36921231 |   36920089 |   36916339 |   36916800 |   36926263 |   36915211 |   36917358 |   36917977
  Idle time (%)                      |      96.3% |      96.3% |      96.3% |      96.3% |      96.2% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     110677 |     110943 |     110810 |     110565 |     110927 |     110604 |     110520 |     110896 |     110662 |     110748 |     110897 |     110772 |     110578 |     110925 |     110891 |     110779
  num incorrect                      |        315 |        364 |        334 |        247 |        358 |        324 |        298 |        329 |        367 |        356 |        324 |        336 |        312 |        378 |        364 |        376
  misprediction rate                 |      0.28% |      0.33% |      0.30% |      0.22% |      0.32% |      0.29% |      0.27% |      0.30% |      0.33% |      0.32% |      0.29% |      0.30% |      0.28% |      0.34% |      0.33% |      0.34%
  mpki                               |       0.22 |       0.26 |       0.24 |       0.18 |       0.25 |       0.23 |       0.21 |       0.23 |       0.26 |       0.25 |       0.23 |       0.24 |       0.22 |       0.27 |       0.26 |       0.27
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     215351 |     215358 |     215382 |     215283 |     215407 |     215372 |     215354 |     215379 |     215404 |     215408 |     215363 |     215375 |     215351 |     215439 |     215412 |     215427
    num cache misses                 |         22 |         21 |         22 |         22 |         22 |         23 |         22 |         22 |         22 |         22 |         22 |         22 |         22 |         22 |         22 |         22
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.02 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     943332 |     944034 |     943661 |     942902 |     943972 |     943226 |     942981 |     943824 |     943457 |     943610 |     943800 |     943582 |     943126 |     944040 |     943917 |     943728
    num cache misses                 |       2309 |       2659 |       2471 |       2083 |       2636 |       2252 |       2137 |       2569 |       2257 |       2328 |       2430 |       2324 |       2107 |       2545 |       2453 |       2388
    miss rate                        |      0.24% |      0.28% |      0.26% |      0.22% |      0.28% |      0.24% |      0.23% |      0.27% |      0.24% |      0.25% |      0.26% |      0.25% |      0.22% |      0.27% |      0.26% |      0.25%
    mpki                             |       1.65 |       1.89 |       1.76 |       1.49 |       1.88 |       1.61 |       1.53 |       1.83 |       1.61 |       1.66 |       1.73 |       1.66 |       1.50 |       1.81 |       1.75 |       1.70
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       2556 |       2952 |       2765 |       2334 |       2916 |       2521 |       2378 |       2836 |       2666 |       2739 |       2821 |       2707 |       2504 |       2994 |       2911 |       2814
    num cache misses                 |       2331 |       2680 |       2493 |       2105 |       2658 |       2275 |       2159 |       2591 |       2279 |       2350 |       2452 |       2346 |       2130 |       2568 |       2475 |       2410
    miss rate                        |     91.20% |     90.79% |     90.16% |     90.19% |     91.15% |     90.24% |     90.79% |     91.36% |     85.48% |     85.80% |     86.92% |     86.66% |     85.06% |     85.77% |     85.02% |     85.64%
    mpki                             |       1.66 |       1.91 |       1.78 |       1.50 |       1.89 |       1.62 |       1.54 |       1.84 |       1.63 |       1.67 |       1.75 |       1.67 |       1.52 |       1.83 |       1.76 |       1.72
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       2556 |       2952 |       2765 |       2334 |       2916 |       2521 |       2378 |       2836 |       2666 |       2739 |       2821 |       2707 |       2504 |       2994 |       2911 |       2814
    num cache misses                 |       1408 |       1619 |       1484 |       1214 |       1570 |       1348 |       1254 |       1530 |       1303 |       1265 |       1335 |       1275 |       1204 |       1471 |       1360 |       1307
    miss rate                        |     55.09% |     54.84% |     53.67% |     52.01% |     53.84% |     53.47% |     52.73% |     53.95% |     48.87% |     46.18% |     47.32% |     47.10% |     48.08% |     49.13% |     46.72% |     46.45%
    mpki                             |       1.00 |       1.15 |       1.06 |       0.87 |       1.12 |       0.96 |       0.90 |       1.09 |       0.93 |       0.90 |       0.95 |       0.91 |       0.86 |       1.05 |       0.97 |       0.93
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         96 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     155.45 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     102.02 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          6 |          4 |          3 |          6 |          3 |          4 |          3 |          3 |          3 |          3 |          3 |          3 |          3 |          3 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |        651 |        745 |        698 |        601 |        726 |        671 |        597 |        705 |        703 |        698 |        688 |        670 |        649 |        734 |        723 |        719
