                                     | Core 0     | Core 1    
  Instructions                       |     222286 |     222935
  Cycles                             |    1519652 |    1519652
  IPC                                |       0.15 |       0.15
  Time (ns)                          |     571298 |     571298
  Idle time (ns)                     |     432066 |     430058
  Idle time (%)                      |      75.6% |      75.3%
Branch predictor stats               |            |           
  num correct                        |      19605 |      19562
  num incorrect                      |       1016 |       1119
  misprediction rate                 |      4.93% |      5.41%
  mpki                               |       4.57 |       5.02
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      34651 |      34682
    num cache misses                 |         22 |         22
    miss rate                        |      0.06% |      0.06%
    mpki                             |       0.10 |       0.10
  Cache L1-D                         |            |           
    num cache accesses               |     132974 |     133148
    num cache misses                 |       1679 |       1807
    miss rate                        |      1.26% |      1.36%
    mpki                             |       7.55 |       8.11
  Cache L2                           |            |           
    num cache accesses               |       2479 |       2478
    num cache misses                 |         33 |          8
    miss rate                        |      1.33% |      0.32%
    mpki                             |       0.15 |       0.04
  Cache L3                           |            |           
    num cache accesses               |         35 |         10
    num cache misses                 |         33 |          8
    miss rate                        |     94.29% |     80.00%
    mpki                             |       0.15 |       0.04
DRAM summary                         |            |           
  num dram accesses                  |         39 |          0
  average dram access latency (ns)   |     120.85 |        inf
  average dram queueing delay        |      67.42 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          9 |          3
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
