                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     225646 |     227123 |     225919 |     226351
  Cycles                             |    2223980 |    2223980 |    2223980 |    2223980
  IPC                                |       0.10 |       0.10 |       0.10 |       0.10
  Time (ns)                          |     836083 |     836083 |     836083 |     836083
  Idle time (ns)                     |     690486 |     686385 |     688918 |     688117
  Idle time (%)                      |      82.6% |      82.1% |      82.4% |      82.3%
Branch predictor stats               |            |            |            |           
  num correct                        |      19632 |      19575 |      19579 |      19568
  num incorrect                      |       1190 |       1390 |       1288 |       1319
  misprediction rate                 |      5.72% |      6.63% |      6.17% |      6.31%
  mpki                               |       5.27 |       6.12 |       5.70 |       5.83
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      35135 |      35297 |      35133 |      35194
    num cache misses                 |         22 |         23 |         23 |         22
    miss rate                        |      0.06% |      0.07% |      0.07% |      0.06%
    mpki                             |       0.10 |       0.10 |       0.10 |       0.10
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     133676 |     134103 |     133783 |     133864
    num cache misses                 |       2767 |       2823 |       2951 |       2908
    miss rate                        |      2.07% |      2.11% |      2.21% |      2.17%
    mpki                             |      12.26 |      12.43 |      13.06 |      12.85
  Cache L2                           |            |            |            |           
    num cache accesses               |       3604 |       3728 |       3817 |       3742
    num cache misses                 |         31 |          7 |          7 |          5
    miss rate                        |      0.86% |      0.19% |      0.18% |      0.13%
    mpki                             |       0.14 |       0.03 |       0.03 |       0.02
  Cache L3                           |            |            |            |           
    num cache accesses               |         33 |          9 |          9 |          7
    num cache misses                 |         31 |          7 |          7 |          5
    miss rate                        |     93.94% |     77.78% |     77.78% |     71.43%
    mpki                             |       0.14 |       0.03 |       0.03 |       0.02
DRAM summary                         |            |            |            |           
  num dram accesses                  |         47 |          0 |          0 |          0
  average dram access latency (ns)   |     126.95 |        inf |        inf |        inf
  average dram queueing delay        |      73.52 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          8 |          3 |          4 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
