                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     238829 |     239797 |     239255 |     239305 |     239212 |     239185 |     239973 |     240039 |     240229 |     239528 |     239002 |     240059 |     240247 |     239050 |     240603 |     240264
  Cycles                             |    8928749 |    8928749 |    8928749 |    8928749 |    8928749 |    8928749 |    8928749 |    8928749 |    8928749 |    8928749 |    8928749 |    8928749 |    8928749 |    8928749 |    8928749 |    8928749
  IPC                                |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Time (ns)                          |    3356673 |    3356673 |    3356673 |    3356673 |    3356673 |    3356673 |    3356673 |    3356673 |    3356673 |    3356673 |    3356673 |    3356673 |    3356673 |    3356673 |    3356673 |    3356673
  Idle time (ns)                     |    3105549 |    3103290 |    3107184 |    3100872 |    3101304 |    3105129 |    3103937 |    3107132 |    3102996 |    3104471 |    3104680 |    3105463 |    3104444 |    3106118 |    3099486 |    3102500
  Idle time (%)                      |      92.5% |      92.5% |      92.6% |      92.4% |      92.4% |      92.5% |      92.5% |      92.6% |      92.4% |      92.5% |      92.5% |      92.5% |      92.5% |      92.5% |      92.3% |      92.4%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      20362 |      20451 |      20417 |      20351 |      20406 |      20402 |      20436 |      20507 |      20421 |      20441 |      20417 |      20427 |      20522 |      20377 |      20473 |      20439
  num incorrect                      |       1346 |       1338 |       1301 |       1389 |       1309 |       1314 |       1371 |       1297 |       1387 |       1307 |       1280 |       1361 |       1276 |       1347 |       1348 |       1373
  misprediction rate                 |      6.20% |      6.14% |      5.99% |      6.39% |      6.03% |      6.05% |      6.29% |      5.95% |      6.36% |      6.01% |      5.90% |      6.25% |      5.85% |      6.20% |      6.18% |      6.29%
  mpki                               |       5.64 |       5.58 |       5.44 |       5.80 |       5.47 |       5.49 |       5.71 |       5.40 |       5.77 |       5.46 |       5.36 |       5.67 |       5.31 |       5.63 |       5.60 |       5.71
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      36623 |      36623 |      36733 |      36683 |      36737 |      36712 |      36600 |      36663 |      36819 |      36716 |      36757 |      36736 |      36808 |      36621 |      36923 |      36802
    num cache misses                 |         22 |         22 |         22 |         23 |         22 |         23 |         22 |         23 |         22 |         22 |         22 |         22 |         22 |         22 |         22 |         22
    miss rate                        |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
    mpki                             |       0.09 |       0.09 |       0.09 |       0.10 |       0.09 |       0.10 |       0.09 |       0.10 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     136372 |     136536 |     136450 |     136485 |     136436 |     136438 |     136548 |     136601 |     136714 |     136515 |     136432 |     136593 |     136675 |     136390 |     136796 |     136715
    num cache misses                 |       7120 |       7363 |       7228 |       7520 |       7326 |       7256 |       7276 |       7173 |       7455 |       7278 |       7398 |       7064 |       7382 |       7034 |       7417 |       7435
    miss rate                        |      5.22% |      5.39% |      5.30% |      5.51% |      5.37% |      5.32% |      5.33% |      5.25% |      5.45% |      5.33% |      5.42% |      5.17% |      5.40% |      5.16% |      5.42% |      5.44%
    mpki                             |      29.81 |      30.71 |      30.21 |      31.42 |      30.63 |      30.34 |      30.32 |      29.88 |      31.03 |      30.38 |      30.95 |      29.43 |      30.73 |      29.42 |      30.83 |      30.95
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       9210 |       9397 |       9248 |       9527 |       9383 |       9253 |       9228 |       9108 |       9551 |       9310 |       9433 |       9096 |       9384 |       9043 |       9485 |       9389
    num cache misses                 |       7158 |       7427 |       7306 |       7599 |       7406 |       7347 |       7380 |       7265 |       7503 |       7361 |       7499 |       7167 |       7488 |       7129 |       7528 |       7534
    miss rate                        |     77.72% |     79.04% |     79.00% |     79.76% |     78.93% |     79.40% |     79.97% |     79.77% |     78.56% |     79.07% |     79.50% |     78.79% |     79.80% |     78.83% |     79.37% |     80.24%
    mpki                             |      29.97 |      30.97 |      30.54 |      31.75 |      30.96 |      30.72 |      30.75 |      30.27 |      31.23 |      30.73 |      31.38 |      29.86 |      31.17 |      29.82 |      31.29 |      31.36
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       9210 |       9397 |       9248 |       9527 |       9383 |       9253 |       9228 |       9108 |       9551 |       9310 |       9433 |       9096 |       9384 |       9043 |       9485 |       9389
    num cache misses                 |       4296 |       4568 |       4423 |       4588 |       4557 |       4504 |       4431 |       4380 |       4255 |       4362 |       4393 |       4312 |       4452 |       4210 |       4520 |       4418
    miss rate                        |     46.64% |     48.61% |     47.83% |     48.16% |     48.57% |     48.68% |     48.02% |     48.09% |     44.55% |     46.85% |     46.57% |     47.41% |     47.44% |     46.56% |     47.65% |     47.06%
    mpki                             |      17.99 |      19.05 |      18.49 |      19.17 |      19.05 |      18.83 |      18.46 |      18.25 |      17.71 |      18.21 |      18.38 |      17.96 |      18.53 |      17.61 |      18.79 |      18.39
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         96 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     155.24 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     101.81 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          4 |          3 |          6 |          3 |          4 |          4 |          3 |          3 |          3 |          3 |          6 |          4 |          4 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       2835 |       3007 |       2900 |       2959 |       2985 |       2924 |       2835 |       2835 |       2810 |       2857 |       2832 |       2776 |       2867 |       2693 |       2951 |       2786
