                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   40129873 |   42299382 |   42813226 |   43041916 |   41345326 |   41908249 |   36926207 |   39067827
  Cycles                             |   24775552 |   24775552 |   24775552 |   24775552 |   24775552 |   24775552 |   24775552 |   24775552
  IPC                                |       1.62 |       1.71 |       1.73 |       1.74 |       1.67 |       1.69 |       1.49 |       1.58
  Time (ns)                          |    9314118 |    9314118 |    9314118 |    9314118 |    9314118 |    9314118 |    9314118 |    9314118
  Idle time (ns)                     |     479573 |     121552 |      38945 |       2974 |     362050 |     259849 |    1202660 |     806957
  Idle time (%)                      |       5.1% |       1.3% |       0.4% |       0.0% |       3.9% |       2.8% |      12.9% |       8.7%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    9795559 |   10337928 |   10466470 |   10523619 |   10099368 |   10240235 |    8994741 |    9530106
  num incorrect                      |       1636 |       1648 |       1566 |       1595 |       1687 |       1562 |       1541 |       1584
  misprediction rate                 |      0.02% |      0.02% |      0.01% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      11137 |      11151 |      11155 |      11126 |      11179 |      11134 |      11152 |      11140
    num cache misses                 |         17 |         18 |         18 |         17 |         18 |         18 |         18 |         18
    miss rate                        |      0.15% |      0.16% |      0.16% |      0.15% |      0.16% |      0.16% |      0.16% |      0.16%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   20320467 |   21405231 |   21662153 |   21776497 |   20928203 |   21209664 |   18718643 |   19789453
    num cache misses                 |      13490 |      13916 |      14123 |      14139 |       9389 |       9371 |       8608 |       8731
    miss rate                        |      0.07% |      0.07% |      0.07% |      0.06% |      0.04% |      0.04% |      0.05% |      0.04%
    mpki                             |       0.34 |       0.33 |       0.33 |       0.33 |       0.23 |       0.22 |       0.23 |       0.22
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      14862 |      14942 |      15131 |      15135 |      10342 |      10356 |       9594 |       9672
    num cache misses                 |       4797 |       1762 |        902 |        559 |       1985 |       1689 |       1502 |       1325
    miss rate                        |     32.28% |     11.79% |      5.96% |      3.69% |     19.19% |     16.31% |     15.66% |     13.70%
    mpki                             |       0.12 |       0.04 |       0.02 |       0.01 |       0.05 |       0.04 |       0.04 |       0.03
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       5471 |       2269 |       1407 |       1036 |       2913 |       2638 |       2428 |       2205
    num cache misses                 |         14 |          6 |          5 |         10 |          7 |          5 |          8 |          6
    miss rate                        |      0.26% |      0.26% |      0.36% |      0.97% |      0.24% |      0.19% |      0.33% |      0.27%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         49 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     119.15 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      65.72 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          4 |          4 |          4 |          5 |          4 |          4 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
