                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    3956350 |    3742879 |    3794289 |    3690781 |    4042671 |    4045876 |    3568951 |    3500094 |    3752592 |    3885292 |    3620932 |    3143416 |    4120827 |    3888381 |    3744797 |    3244751
  Cycles                             |   63428925 |   63428925 |   63428925 |   63428925 |   63428925 |   63428925 |   63428925 |   63428925 |   63428925 |   63428925 |   63428925 |   63428925 |   63428925 |   63428925 |   63428925 |   63428925
  IPC                                |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.05 |       0.06 |       0.06 |       0.06 |       0.05
  Time (ns)                          |   23845461 |   23845461 |   23845461 |   23845461 |   23845461 |   23845461 |   23845461 |   23845461 |   23845461 |   23845461 |   23845461 |   23845461 |   23845461 |   23845461 |   23845461 |   23845461
  Idle time (ns)                     |     454225 |    1037308 |     700082 |    1643109 |       5522 |     125439 |    2544469 |    3087718 |    2270598 |     749194 |    2606681 |    6619671 |     166812 |     595275 |    1415216 |    5424539
  Idle time (%)                      |       1.9% |       4.4% |       2.9% |       6.9% |       0.0% |       0.5% |      10.7% |      12.9% |       9.5% |       3.1% |      10.9% |      27.8% |       0.7% |       2.5% |       5.9% |      22.7%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     623507 |     580795 |     591088 |     570398 |     640764 |     641394 |     546053 |     532259 |     582752 |     609276 |     556441 |     460965 |     656394 |     609937 |     581214 |     481220
  num incorrect                      |        170 |        190 |        179 |        173 |        184 |        196 |        152 |        175 |        179 |        195 |        158 |        133 |        184 |        153 |        160 |        145
  misprediction rate                 |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03%
  mpki                               |       0.04 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.04 |       0.05 |       0.05 |       0.05 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     210023 |     210023 |     210023 |     210015 |     210014 |     210015 |     210015 |     210013 |     210020 |     210019 |     210020 |     210015 |     210020 |     210017 |     210017 |     210015
    num cache misses                 |         16 |         16 |         16 |         16 |         15 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2494037 |    2365967 |    2396813 |    2334716 |    2545849 |    2547773 |    2261618 |    2220299 |    2371797 |    2451416 |    2292802 |    2006297 |    2592739 |    2453266 |    2367116 |    2067098
    num cache misses                 |     649216 |     528034 |     539432 |     517154 |     557721 |     557584 |     498127 |     484130 |     586817 |     542072 |     491285 |     391296 |     554351 |     544145 |     523049 |     422019
    miss rate                        |     26.03% |     22.32% |     22.51% |     22.15% |     21.91% |     21.89% |     22.03% |     21.80% |     24.74% |     22.11% |     21.43% |     19.50% |     21.38% |     22.18% |     22.10% |     20.42%
    mpki                             |     164.09 |     141.08 |     142.17 |     140.12 |     137.96 |     137.82 |     139.57 |     138.32 |     156.38 |     139.52 |     135.68 |     124.48 |     134.52 |     139.94 |     139.67 |     130.06
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     649265 |     528100 |     539493 |     517205 |     557777 |     557644 |     498174 |     484187 |     586872 |     542138 |     491338 |     391343 |     554411 |     544195 |     523100 |     422066
    num cache misses                 |     649232 |     528050 |     539448 |     517170 |     557738 |     557600 |     498143 |     484146 |     586833 |     542088 |     491301 |     391312 |     554367 |     544161 |     523065 |     422035
    miss rate                        |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99%
    mpki                             |     164.10 |     141.08 |     142.17 |     140.12 |     137.96 |     137.82 |     139.58 |     138.32 |     156.38 |     139.52 |     135.68 |     124.49 |     134.53 |     139.95 |     139.68 |     130.07
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     649265 |     528100 |     539493 |     517205 |     557777 |     557644 |     498174 |     484187 |     586872 |     542138 |     491338 |     391343 |     554411 |     544195 |     523100 |     422066
    num cache misses                 |     267905 |     300902 |     298849 |     283926 |     305538 |     306552 |     274498 |     267212 |     250122 |     314017 |     277723 |     219401 |     322248 |     310489 |     296506 |     235375
    miss rate                        |     41.26% |     56.98% |     55.39% |     54.90% |     54.78% |     54.97% |     55.10% |     55.19% |     42.62% |     57.92% |     56.52% |     56.06% |     58.12% |     57.05% |     56.68% |     55.77%
    mpki                             |      67.72 |      80.39 |      78.76 |      76.93 |      75.58 |      75.77 |      76.91 |      76.34 |      66.65 |      80.82 |      76.70 |      69.80 |      78.20 |      79.85 |      79.18 |      72.54
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         71 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     124.74 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      71.31 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
