                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     620281 |     762789 |     771619 |     824047 |     552946 |     809917 |     736573 |     790679
  Cycles                             |     711755 |     711755 |     711755 |     711755 |     711755 |     711755 |     711755 |     711755
  IPC                                |       0.87 |       1.07 |       1.08 |       1.16 |       0.78 |       1.14 |       1.03 |       1.11
  Time (ns)                          |     267577 |     267577 |     267577 |     267577 |     267577 |     267577 |     267577 |     267577
  Idle time (ns)                     |       3781 |       8976 |      23697 |      23240 |      58463 |       1954 |      30181 |      33210
  Idle time (%)                      |       1.4% |       3.4% |       8.9% |       8.7% |      21.8% |       0.7% |      11.3% |      12.4%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     141846 |     177207 |     179486 |     192840 |     124930 |     189132 |     170974 |     184450
  num incorrect                      |        725 |        983 |        912 |        664 |        804 |        839 |        672 |        727
  misprediction rate                 |      0.51% |      0.55% |      0.51% |      0.34% |      0.64% |      0.44% |      0.39% |      0.39%
  mpki                               |       1.17 |       1.29 |       1.18 |       0.81 |       1.45 |       1.04 |       0.91 |       0.92
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      11041 |      11070 |      11072 |      11069 |      11056 |      11071 |      11037 |      11043
    num cache misses                 |         17 |         19 |         18 |         18 |         18 |         18 |         17 |         17
    miss rate                        |      0.15% |      0.17% |      0.16% |      0.16% |      0.16% |      0.16% |      0.15% |      0.15%
    mpki                             |       0.03 |       0.02 |       0.02 |       0.02 |       0.03 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     318171 |     389418 |     393835 |     420047 |     284497 |     412983 |     376314 |     403380
    num cache misses                 |       8789 |       9182 |       9005 |       8928 |       6784 |       8656 |       7932 |       8035
    miss rate                        |      2.76% |      2.36% |      2.29% |      2.13% |      2.38% |      2.10% |      2.11% |      1.99%
    mpki                             |      14.17 |      12.04 |      11.67 |      10.83 |      12.27 |      10.69 |      10.77 |      10.16
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       9924 |       9959 |       9911 |       9802 |       7707 |       9595 |       8908 |       8870
    num cache misses                 |       3289 |       2045 |       1474 |       1190 |       2104 |       2252 |       1777 |       1319
    miss rate                        |     33.14% |     20.53% |     14.87% |     12.14% |     27.30% |     23.47% |     19.95% |     14.87%
    mpki                             |       5.30 |       2.68 |       1.91 |       1.44 |       3.81 |       2.78 |       2.41 |       1.67
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       4191 |       2600 |       2154 |       1854 |       2992 |       3142 |       2644 |       2015
    num cache misses                 |          8 |         11 |         17 |          7 |          9 |         10 |          7 |          4
    miss rate                        |      0.19% |      0.42% |      0.79% |      0.38% |      0.30% |      0.32% |      0.26% |      0.20%
    mpki                             |       0.01 |       0.01 |       0.02 |       0.01 |       0.02 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         50 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     158.04 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     104.61 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          2 |          4 |          4 |          4 |          4 |          3 |          3 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
