                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    4395441 |    4400080 |    4621521 |    4194838 |    3975568 |    4289206 |    3904201 |    4265392 |    4604752 |    4227656 |    4250344 |    3786112 |    4393636 |    4185016 |    4640228 |    3030562
  Cycles                             |   62883553 |   62883553 |   62883553 |   62883553 |   62883553 |   62883553 |   62883553 |   62883553 |   62883553 |   62883553 |   62883553 |   62883553 |   62883553 |   62883553 |   62883553 |   62883553
  IPC                                |       0.07 |       0.07 |       0.07 |       0.07 |       0.06 |       0.07 |       0.06 |       0.07 |       0.07 |       0.07 |       0.07 |       0.06 |       0.07 |       0.07 |       0.07 |       0.05
  Time (ns)                          |   23640434 |   23640434 |   23640434 |   23640434 |   23640434 |   23640434 |   23640434 |   23640434 |   23640434 |   23640434 |   23640434 |   23640434 |   23640434 |   23640434 |   23640434 |   23640434
  Idle time (ns)                     |     854310 |     596467 |       4526 |    1855896 |    3335444 |    1263153 |    3850669 |    1387659 |     180962 |    2167853 |    1956633 |    5041363 |     991930 |    2278110 |     132741 |   10228789
  Idle time (%)                      |       3.6% |       2.5% |       0.0% |       7.9% |      14.1% |       5.3% |      16.3% |       5.9% |       0.8% |       9.2% |       8.3% |      21.3% |       4.2% |       9.6% |       0.6% |      43.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     609756 |     610496 |     647418 |     576315 |     539771 |     592038 |     527890 |     588081 |     644630 |     581783 |     585580 |     508216 |     609456 |     574707 |     650547 |     382320
  num incorrect                      |        159 |        190 |        174 |        164 |        163 |        169 |        149 |        157 |        168 |        164 |        150 |        142 |        155 |        135 |        168 |        113
  misprediction rate                 |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.02% |      0.03% |      0.03%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.03 |       0.04 |       0.04
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      11023 |      11037 |      11035 |      11037 |      11037 |      11037 |      11034 |      11037 |      11037 |      11035 |      11037 |      11037 |      11038 |      11037 |      11021 |      11037
    num cache misses                 |         17 |         18 |         18 |         18 |         18 |         18 |         18 |         18 |         18 |         18 |         18 |         18 |         18 |         18 |         17 |         18
    miss rate                        |      0.15% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.15% |      0.16%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2452751 |    2455058 |    2565777 |    2352437 |    2242802 |    2399621 |    2207124 |    2387714 |    2557394 |    2368850 |    2380190 |    2148074 |    2451837 |    2347526 |    2575150 |    1770299
    num cache misses                 |     663241 |     569505 |     586358 |     536605 |     497955 |     558154 |     492479 |     560177 |     673823 |     526746 |     534218 |     450890 |     560180 |     532553 |     592199 |     321803
    miss rate                        |     27.04% |     23.20% |     22.85% |     22.81% |     22.20% |     23.26% |     22.31% |     23.46% |     26.35% |     22.24% |     22.44% |     20.99% |     22.85% |     22.69% |     23.00% |     18.18%
    mpki                             |     150.89 |     129.43 |     126.88 |     127.92 |     125.25 |     130.13 |     126.14 |     131.33 |     146.33 |     124.60 |     125.69 |     119.09 |     127.50 |     127.25 |     127.62 |     106.19
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     663290 |     569555 |     586407 |     536656 |     498002 |     558216 |     492528 |     560226 |     673879 |     526794 |     534270 |     450934 |     560227 |     532598 |     592252 |     321844
    num cache misses                 |     663258 |     569523 |     586376 |     536623 |     497973 |     558172 |     492497 |     560195 |     673841 |     526765 |     534236 |     450908 |     560198 |     532572 |     592216 |     321821
    miss rate                        |    100.00% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |    100.00% |     99.99% |     99.99%
    mpki                             |     150.90 |     129.43 |     126.88 |     127.92 |     125.26 |     130.13 |     126.15 |     131.33 |     146.34 |     124.60 |     125.69 |     119.10 |     127.50 |     127.26 |     127.63 |     106.19
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     663290 |     569555 |     586407 |     536656 |     498002 |     558216 |     492528 |     560226 |     673879 |     526794 |     534270 |     450934 |     560227 |     532598 |     592252 |     321844
    num cache misses                 |     264147 |     319214 |     324274 |     285769 |     264309 |     295382 |     260825 |     296646 |     283992 |     297617 |     295232 |     246576 |     306832 |     288074 |     325405 |     171502
    miss rate                        |     39.82% |     56.05% |     55.30% |     53.25% |     53.07% |     52.92% |     52.96% |     52.95% |     42.14% |     56.50% |     55.26% |     54.68% |     54.77% |     54.09% |     54.94% |     53.29%
    mpki                             |      60.10 |      72.55 |      70.17 |      68.12 |      66.48 |      68.87 |      66.81 |      69.55 |      61.67 |      70.40 |      69.46 |      65.13 |      69.84 |      68.83 |      70.13 |      56.59
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         73 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     197.89 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     144.46 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
