                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     459003 |     485847 |     569904 |     479277 |     392206 |     441717 |     496083 |     383426
  Cycles                             |    3235103 |    3235103 |    3235103 |    3235103 |    3235103 |    3235103 |    3235103 |    3235103
  IPC                                |       0.14 |       0.15 |       0.18 |       0.15 |       0.12 |       0.14 |       0.15 |       0.12
  Time (ns)                          |    1216205 |    1216205 |    1216205 |    1216205 |    1216205 |    1216205 |    1216205 |    1216205
  Idle time (ns)                     |      90002 |      99954 |       3014 |     204378 |     231108 |      64760 |      11192 |     423372
  Idle time (%)                      |       7.4% |       8.2% |       0.2% |      16.8% |      19.0% |       5.3% |       0.9% |      34.8%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      58701 |      63132 |      77134 |      62007 |      47507 |      55771 |      64810 |      46079
  num incorrect                      |        141 |        188 |        195 |        215 |        206 |        194 |        216 |        171
  misprediction rate                 |      0.24% |      0.30% |      0.25% |      0.35% |      0.43% |      0.35% |      0.33% |      0.37%
  mpki                               |       0.31 |       0.39 |       0.34 |       0.45 |       0.53 |       0.44 |       0.44 |       0.45
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      11023 |      11020 |      11017 |      11023 |      11020 |      11020 |      11020 |      11020
    num cache misses                 |         17 |         17 |         16 |         17 |         17 |         17 |         17 |         17
    miss rate                        |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15%
    mpki                             |       0.04 |       0.03 |       0.03 |       0.04 |       0.04 |       0.04 |       0.03 |       0.04
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     259532 |     272965 |     314992 |     269678 |     226144 |     250900 |     278083 |     221753
    num cache misses                 |      66252 |      56378 |      60919 |      52792 |      41720 |      50863 |      54231 |      37771
    miss rate                        |     25.53% |     20.65% |     19.34% |     19.58% |     18.45% |     20.27% |     19.50% |     17.03%
    mpki                             |     144.34 |     116.04 |     106.89 |     110.15 |     106.37 |     115.15 |     109.32 |      98.51
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      66340 |      56465 |      61021 |      52886 |      41818 |      50932 |      54301 |      37840
    num cache misses                 |      35382 |      26485 |      27976 |      22689 |      27729 |      32686 |      32770 |      19412
    miss rate                        |     53.33% |     46.91% |     45.85% |     42.90% |     66.31% |     64.18% |     60.35% |     51.30%
    mpki                             |      77.08 |      54.51 |      49.09 |      47.34 |      70.70 |      74.00 |      66.06 |      50.63
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      35431 |      26519 |      28033 |      22752 |      27785 |      32720 |      32789 |      19440
    num cache misses                 |         14 |          9 |          8 |          5 |          5 |          5 |          8 |          6
    miss rate                        |      0.04% |      0.03% |      0.03% |      0.02% |      0.02% |      0.02% |      0.02% |      0.03%
    mpki                             |       0.03 |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         48 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     120.11 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      66.68 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          2 |          4 |          4 |          4 |          2 |          4 |          4 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
