                                     | Core 0     | Core 1    
  Instructions                       |     422130 |     459821
  Cycles                             |     668905 |     668905
  IPC                                |       0.63 |       0.69
  Time (ns)                          |     251468 |     251468
  Idle time (ns)                     |     108117 |     101359
  Idle time (%)                      |      43.0% |      40.3%
Branch predictor stats               |            |           
  num correct                        |      72154 |      81611
  num incorrect                      |        380 |        355
  misprediction rate                 |      0.52% |      0.43%
  mpki                               |       0.90 |       0.77
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      32033 |      32021
    num cache misses                 |         17 |         16
    miss rate                        |      0.05% |      0.05%
    mpki                             |       0.04 |       0.03
  Cache L1-D                         |            |           
    num cache accesses               |     241093 |     259950
    num cache misses                 |       2185 |       1788
    miss rate                        |      0.91% |      0.69%
    mpki                             |       5.18 |       3.89
  Cache L2                           |            |           
    num cache accesses               |       2733 |       2735
    num cache misses                 |         19 |         15
    miss rate                        |      0.70% |      0.55%
    mpki                             |       0.05 |       0.03
  Cache L3                           |            |           
    num cache accesses               |         20 |         18
    num cache misses                 |         19 |         15
    miss rate                        |     95.00% |     83.33%
    mpki                             |       0.05 |       0.03
DRAM summary                         |            |           
  num dram accesses                  |         29 |          0
  average dram access latency (ns)   |     101.10 |        inf
  average dram queueing delay        |      47.67 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          4 |          4
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
